iso3,group,v2x_corr_T,v2x_corr_adf_p,v2x_corr_kpss_p,v2x_corr_verdict,gini_disp_T,gini_disp_adf_p,gini_disp_kpss_p,gini_disp_verdict
ALB,Émergents,34,7.193255771557812e-15,0.1,stationary,25,0.42471203317735856,0.09726260038410432,ambiguous
ARG,Émergents,34,0.6463084663071006,0.010376904897724583,non-stationary,32,0.14938088379079195,0.0330222842431962,non-stationary
ARM,Émergents,34,0.6386379358492529,0.1,ambiguous,32,0.10437528129071438,0.1,ambiguous
AUS,OECD,34,0.08861924332058513,0.1,ambiguous,31,5.946367069756426e-06,0.01,ambiguous
AUT,OECD,34,0.7969527987594468,0.1,ambiguous,32,0.0008308236405383031,0.1,stationary
BDI,Afrique,34,0.5827782068413656,0.018080782813750664,non-stationary,23,0.9869963716737009,0.07477720808991185,ambiguous
BEL,OECD,34,0.27891011495252216,0.025434995827683462,non-stationary,32,0.009944644734384408,0.08061843772352059,stationary
BFA,Afrique,34,0.9257405492916193,0.01,non-stationary,25,0.017928504856984037,0.014158474315538294,ambiguous
BGD,Émergents,34,0.5567259840000782,0.01,non-stationary,27,0.5303966034682103,0.01,non-stationary
BGR,Émergents,34,0.37888248346479475,0.023182984904792557,non-stationary,32,0.7911154396307853,0.01,non-stationary
BLR,Émergents,34,0.061261467781771925,0.046537840107445855,non-stationary,33,0.02290117465173681,0.07798390253967741,stationary
BOL,Émergents,34,0.8302923820706906,0.028208907788335312,non-stationary,30,0.2162442813205177,0.014986597082817164,non-stationary
BRA,Émergents,34,0.12622629165172,0.1,ambiguous,32,0.7851786673156774,0.01,non-stationary
BRB,Émergents,34,0.03008542720992666,0.1,stationary,28,0.9281776578833411,0.1,ambiguous
BWA,Afrique,34,0.2726634881229047,0.1,ambiguous,27,0.11114960409145086,0.018342172914364574,non-stationary
CAN,OECD,34,0.6795135736576295,0.04703372861464958,non-stationary,32,0.4651294743029125,0.09213074770561112,ambiguous
CHE,OECD,34,0.017024266193792437,0.08205052500329318,stationary,31,0.3007493182435257,0.1,ambiguous
CHL,OECD,34,0.9988782768287554,0.1,ambiguous,31,0.8967895827430513,0.01,non-stationary
CHN,Émergents,34,0.7031780167219781,0.044743070696594084,non-stationary,31,0.161333139353722,0.01648440651796043,non-stationary
CIV,Afrique,34,0.3296831161361663,0.1,ambiguous,29,0.3137207909418516,0.01,non-stationary
COL,OECD,34,0.05495775272091018,0.01,non-stationary,32,0.47764226858608627,0.1,ambiguous
CRI,OECD,34,0.1313817006762475,0.07264406945981457,ambiguous,33,9.361348102161812e-08,0.01,ambiguous
CYP,Émergents,34,0.11126150205239449,0.09981351744906759,ambiguous,32,0.2213966676779095,0.1,ambiguous
CZE,OECD,34,1.0,0.01,non-stationary,32,0.005788183661631493,0.055904611764796185,stationary
DEU,OECD,34,5.6388760223661476e-09,0.035478584713958844,ambiguous,32,0.9354751433240253,0.014605031865330556,non-stationary
DJI,Émergents,34,0.8623394712640878,0.015918421757034465,non-stationary,22,0.13666276225552637,0.01,non-stationary
DNK,OECD,34,0.9942659485477608,0.1,ambiguous,32,0.9958961405199539,0.01,non-stationary
DOM,Émergents,34,0.9935845935612863,0.013640438799300285,non-stationary,32,0.52144843293846,0.029205692814227406,non-stationary
DZA,Afrique,34,0.21206654787845247,0.014991377187007654,non-stationary,22,1.0,0.01,non-stationary
ECU,Émergents,34,0.2857342110818709,0.1,ambiguous,28,0.2452576062470096,0.01,non-stationary
EGY,Afrique,34,0.6546173251593614,0.016294017522489025,non-stationary,30,0.18169665710055388,0.046609252943176756,non-stationary
ESP,OECD,34,1.0,0.061321572155952506,ambiguous,32,0.388153930210254,0.1,ambiguous
EST,OECD,34,5.682240251150245e-29,0.02031808233037623,ambiguous,32,0.6772393997406211,0.1,ambiguous
ETH,Afrique,34,8.581437681971096e-06,0.046284671697578494,ambiguous,22,8.677033109399026e-08,0.08013433812425488,stationary
FIN,OECD,34,0.005862764636444805,0.022120278663326522,ambiguous,32,0.07551224826399472,0.01,non-stationary
FJI,Émergents,34,0.20005074099154446,0.1,ambiguous,30,0.9932818102059913,0.01,non-stationary
FRA,OECD,34,0.7292745332160854,0.018375586145657232,non-stationary,32,0.6625443666632407,0.024243860580299127,non-stationary
GBR,OECD,34,0.9217174875354388,0.01,non-stationary,33,0.5542683560399484,0.04178076656133795,non-stationary
GEO,Émergents,34,0.7640164020972382,0.02077673732715768,non-stationary,33,0.18203601969908456,0.1,ambiguous
GHA,Afrique,34,0.007063598886551638,0.04330791110592877,ambiguous,28,0.002725519584890068,0.01,ambiguous
GIN,Afrique,34,0.4046958963878978,0.1,ambiguous,28,0.8757214728429008,0.01,non-stationary
GMB,Afrique,34,0.7895734684258371,0.1,ambiguous,29,0.0290996574189734,0.01,ambiguous
GNB,Afrique,34,0.8808380967930655,0.0926008755887404,ambiguous,26,0.26234057488895457,0.03294971721683429,non-stationary
GRC,OECD,34,0.9967648443891997,0.032711718401261546,non-stationary,32,0.9523355063747688,0.013452760210131785,non-stationary
GTM,Émergents,34,0.07644239152585178,0.02141872524542581,non-stationary,25,0.9977289936888143,0.01777138643648567,non-stationary
HKG,Émergents,34,0.6038996149171519,0.018854074416273545,non-stationary,32,0.9658950271161365,0.014393402494462465,non-stationary
HND,Émergents,34,0.7606665387371758,0.09762123899252335,ambiguous,30,0.210005328115083,0.09874957650022709,ambiguous
HRV,Émergents,33,0.000282998173526221,0.012174764579837814,ambiguous,32,0.01412406819177696,0.1,stationary
HUN,OECD,34,0.9896700554359524,0.013418406618097053,non-stationary,32,0.009402970022632887,0.07180486459198324,stationary
IDN,Émergents,34,0.413796874415287,0.025414890822067025,non-stationary,33,0.9790441142127785,0.016826866354517883,non-stationary
IND,Émergents,34,0.9990735274399188,0.01,non-stationary,31,0.4916683387052036,0.1,ambiguous
IRL,OECD,34,0.0012336297753588437,0.01,ambiguous,33,0.9635534474273967,0.01,non-stationary
