iso3,country,group,T_diff,p_C_to_I,lag_C_to_I,p_I_to_C,lag_I_to_C,category
ALB,Albania,Émergents,24,0.40051621873527926,2.0,0.029846556237126034,1.0,I→C
ARG,Argentina,Émergents,31,0.2728255787400841,1.0,0.842143422090416,2.0,Aucune
ARM,Armenia,Émergents,31,0.17710568295614784,1.0,0.3764260092221988,1.0,Aucune
AUS,Australia,OECD,30,0.8356855305992481,1.0,0.6708261284115703,1.0,Aucune
AUT,Austria,OECD,31,0.5651696354983464,2.0,0.7359297719168106,2.0,Aucune
BDI,Burundi,Afrique,22,0.21600641876265578,2.0,0.12718272213461818,2.0,Aucune
BEL,Belgium,OECD,31,0.008945029973837997,1.0,0.20594289544155733,2.0,C→I
BFA,Burkina Faso,Afrique,24,0.029766189720038905,2.0,0.04191907113871608,2.0,Bidir
BGD,Bangladesh,Émergents,26,0.3681670517558834,2.0,0.2338962065527341,2.0,Aucune
BGR,Bulgaria,Émergents,31,0.1866927480171984,1.0,0.4934177149806771,1.0,Aucune
BLR,Belarus,Émergents,32,0.4845751741179057,1.0,0.3102020552812754,2.0,Aucune
BOL,Bolivia,Émergents,29,0.18561332305222342,2.0,0.4911471649341304,2.0,Aucune
BRA,Brazil,Émergents,31,0.3118615664810498,2.0,0.6307068719649125,2.0,Aucune
BRB,Barbados,Émergents,27,0.5187468274213882,1.0,0.03398821742853254,2.0,I→C
BWA,Botswana,Afrique,26,0.6257547347665583,1.0,0.6132195219614706,2.0,Aucune
CAN,Canada,OECD,31,0.10156024848283195,1.0,0.23835514285790954,1.0,Aucune
CHE,Switzerland,OECD,30,0.8127955017069859,2.0,0.6254725681345514,2.0,Aucune
CHL,Chile,OECD,30,0.5969230056283911,1.0,0.1376922149086988,1.0,Aucune
CHN,China,Émergents,30,0.09224237641545122,1.0,0.03919076599658101,1.0,I→C
CIV,Cote d'Ivoire,Afrique,28,0.6518609019284292,1.0,0.6383483217505027,2.0,Aucune
COL,Colombia,OECD,31,0.5698613817571397,1.0,0.3900235351472832,2.0,Aucune
CRI,Costa Rica,OECD,32,0.17587976072474856,1.0,0.20733633458453377,1.0,Aucune
CYP,Cyprus,Émergents,31,0.7944341243230076,2.0,0.10201850050421087,2.0,Aucune
CZE,Czechia,OECD,31,0.3217476309381565,1.0,0.6701836687556814,2.0,Aucune
DEU,Germany,OECD,31,0.7931933382655885,1.0,0.9060073961859637,2.0,Aucune
DJI,Djibouti,Émergents,21,0.5928247103333695,2.0,0.10549731396380146,1.0,Aucune
DNK,Denmark,OECD,31,,,,,n/a
DOM,Dominican Republic,Émergents,31,0.07360015115600954,1.0,0.4149731028655235,1.0,Aucune
DZA,Algeria,Afrique,21,0.26046492363527135,2.0,0.31623929902908393,2.0,Aucune
ECU,Ecuador,Émergents,27,0.7946153677368682,2.0,0.9099527635896004,2.0,Aucune
EGY,"Egypt, Arab Rep.",Afrique,29,0.0019331503827526996,1.0,0.3055645272742112,2.0,C→I
ESP,Spain,OECD,31,0.7837472202171875,1.0,0.34830932571160855,1.0,Aucune
EST,Estonia,OECD,31,0.5409629723525929,2.0,0.6824845017374667,1.0,Aucune
ETH,Ethiopia,Afrique,21,0.1412036894616333,1.0,0.20412118106784397,2.0,Aucune
FIN,Finland,OECD,31,0.104392316779604,1.0,0.6269393383070107,2.0,Aucune
FJI,Fiji,Émergents,29,0.0051575976095617655,2.0,0.5095392100373847,1.0,C→I
FRA,France,OECD,31,0.16783231261350837,1.0,0.04233128917400357,2.0,I→C
GBR,United Kingdom,OECD,32,0.24366861070435966,1.0,0.3825148343391804,1.0,Aucune
GEO,Georgia,Émergents,32,0.288121988968516,1.0,0.2771481841756913,2.0,Aucune
GHA,Ghana,Afrique,27,0.8633643207032352,2.0,0.2244212668596477,1.0,Aucune
