group,channel,h,mean,lo,hi
Émergents,C->C,0,0.036408423086205,0.03534409953858735,0.03747274663382264
Émergents,C->C,1,0.0038203800582224984,0.0023082008453564444,0.005332559271088552
Émergents,C->C,2,-0.0001345420277960862,-0.0016429006707426135,0.001373816615150441
Émergents,C->C,3,4.3323234311436436e-05,-0.00029168799657451914,0.000378334465197392
Émergents,C->C,4,0.0001009994094228321,-2.0228185026517867e-05,0.00022222700387218206
Émergents,C->C,5,7.661757692960288e-05,-1.5938540859455688e-05,0.00016917369471866145
Émergents,C->C,6,5.3668628995478676e-05,-1.3096553018332453e-05,0.00012043381100928981
Émergents,C->C,7,3.7994452072639213e-05,-1.0086470805999517e-05,8.607537495127794e-05
Émergents,C->C,8,2.701885511707654e-05,-7.70626679301057e-06,6.174397702716365e-05
Émergents,C->C,9,1.9218426566940917e-05,-5.924030213155789e-06,4.436088334703762e-05
Émergents,C->C,10,1.3668155151571876e-05,-4.567119572476407e-06,3.190342987562016e-05
Émergents,C->I,0,0.019999200619832704,0.00904497818353877,0.03095342305612664
Émergents,C->I,1,0.0233721774111248,0.009139001190495885,0.03760535363175371
Émergents,C->I,2,0.023378027281701123,0.0077122861815817345,0.03904376838182051
Émergents,C->I,3,0.017848121311717296,0.004923760583340698,0.030772482040093894
Émergents,C->I,4,0.012769687566427953,0.0033600989810509668,0.02217927615180494
Émergents,C->I,5,0.009075076986454569,0.0022851807981643275,0.01586497317474481
Émergents,C->I,6,0.006452900383344145,0.0015190778072613287,0.01138672295942696
Émergents,C->I,7,0.004589302992476968,0.0009825046292703307,0.008196101355683605
Émergents,C->I,8,0.003263873957943218,0.0006147618312945784,0.005912986084591857
Émergents,C->I,9,0.002321210812249707,0.0003682409465121455,0.004274180677987269
Émergents,C->I,10,0.001650801927027559,0.0002069393844124684,0.00309466446964265
Émergents,I->C,0,0.0,0.0,0.0
Émergents,I->C,1,0.0014837038736384904,-1.901367800646761e-05,0.0029864214252834486
Émergents,I->C,2,0.0013090335406830036,0.00030400599285913604,0.002314061088506871
Émergents,I->C,3,0.0009402981335831229,3.765393314579448e-05,0.0018429423340204512
Émergents,I->C,4,0.0006661341202467586,1.3034669755862625e-06,0.001330964773517931
Émergents,I->C,5,0.00047344074398943635,-6.0678954801723895e-06,0.0009529493834590451
Émergents,I->C,6,0.00033673658038913326,-1.1118618069241848e-05,0.0006845917788475084
Émergents,I->C,7,0.00023949193970262034,-1.3806095142008092e-05,0.0004927899745472488
Émergents,I->C,8,0.00017032294434539945,-1.4554341485917678e-05,0.00035520023017671657
Émergents,I->C,9,0.00012113041542658311,-1.406501521077148e-05,0.0002563258460639377
Émergents,I->C,10,8.614569063601991e-05,-1.2873361803810961e-05,0.00018516474307585077
Émergents,I->I,0,0.26459116863996657,0.2568564032366858,0.27232593404324734
Émergents,I->I,1,0.21839685624619323,0.2057239115056809,0.23106980098670557
Émergents,I->I,2,0.15845536222396103,0.1455527795195552,0.17135794492836687
Émergents,I->I,3,0.11300815581985103,0.09910486383926678,0.12691144780043528
Émergents,I->I,4,0.08040655911957297,0.06619176906058125,0.09462134917856468
Émergents,I->I,5,0.05718868628193945,0.04373036303937215,0.07064700952450675
Émergents,I->I,6,0.04067216166422864,0.028638674021132612,0.05270564930732467
Émergents,I->I,7,0.028925350494296103,0.018588638621015077,0.03926206236757713
Émergents,I->I,8,0.02057117953174423,0.011944022060306961,0.0291983370031815
Émergents,I->I,9,0.014629843287346572,0.007582257921827591,0.021677428652865552
Émergents,I->I,10,0.010404474323165653,0.0047414821183700455,0.01606746652796126
