window,direction,lags,transform,Wbar,Ztilde,p_asym,p_boot_Ztilde,p_boot_Wbar,n_countries,B_eff
1990-2023,corr_to_gini,1,first-diff,1.358915295305974,2.871322362447792,0.002043792237195974,0.066,0.136,128,500
1990-2023,gini_to_corr,1,first-diff,0.953693760881381,-0.3675443785756698,0.6433935023585539,0.848,0.832,126,500
1990-2023,corr_to_gini,2,first-diff,2.151540737448628,0.8572438646074814,0.19565506248571152,0.52,0.588,128,500
1990-2023,gini_to_corr,2,first-diff,2.298799978058188,1.6770107176039664,0.04677019303652685,0.536,0.622,126,500
1990-2007,corr_to_gini,1,first-diff,1.3177442470242182,2.5419539761937457,0.005511734386755118,0.21666666666666667,0.23333333333333334,128,300
1990-2007,gini_to_corr,1,first-diff,1.0726807460935612,0.5340922261620203,0.29663886395035166,0.8533333333333334,0.8533333333333334,108,300
1990-2007,corr_to_gini,2,first-diff,3.2978830825981493,7.3419354311396114,1.0524914273446484e-13,0.16,0.17333333333333334,128,300
1990-2007,gini_to_corr,2,first-diff,3.2034423489895563,6.1950986605985365,2.9124269662617053e-10,0.39666666666666667,0.43333333333333335,106,300
2008-2023,corr_to_gini,1,first-diff,3.1134761010707073,16.641527461366532,0.0,0.2633333333333333,0.28,124,300
2008-2023,gini_to_corr,1,first-diff,12.179442599606386,87.31423794039281,0.0,0.08,0.09,122,300
2008-2023,corr_to_gini,2,first-diff,21.90874486743699,105.34717566934371,0.0,0.17666666666666667,0.2,112,300
2008-2023,gini_to_corr,2,first-diff,5.846034576537619e+24,3.0517196420370918e+25,0.0,0.013333333333333334,0.016666666666666666,109,300
