variable,transform,det,lags,stat,p_value,n,n_countries,method
v2x_corr,level,trend,1,-2.07676705996997,0.1,3198,123,Pesaran 2007 CIPS
v2x_corr,level,drift,1,-1.79549378533504,0.1,3198,123,Pesaran 2007 CIPS
v2x_corr,diff,trend,1,-3.19079653923851,0.01,3075,123,Pesaran 2007 CIPS
v2x_corr,diff,drift,1,-3.03707440932079,0.01,3075,123,Pesaran 2007 CIPS
gini_disp,level,trend,1,-2.47501729145497,0.1,1846,71,Pesaran 2007 CIPS
gini_disp,level,trend,2,-2.21937234721374,0.1,1846,71,Pesaran 2007 CIPS
gini_disp,level,drift,1,-2.27508781390516,0.01,1846,71,Pesaran 2007 CIPS
gini_disp,level,drift,2,-2.10193609831984,0.0424594671470561,1846,71,Pesaran 2007 CIPS
gini_disp,diff,trend,1,-2.61821020954132,0.0404487036954686,1775,71,Pesaran 2007 CIPS
gini_disp,diff,trend,2,-2.13134311531255,0.1,1775,71,Pesaran 2007 CIPS
gini_disp,diff,drift,1,-2.44560344478506,0.01,1775,71,Pesaran 2007 CIPS
gini_disp,diff,drift,2,-2.02683935921817,0.0886995461176852,1775,71,Pesaran 2007 CIPS
log_gdp_pc,level,trend,1,-2.08588268467207,0.1,3250,125,Pesaran 2007 CIPS
log_gdp_pc,level,trend,2,-2.04782282556353,0.1,3250,125,Pesaran 2007 CIPS
log_gdp_pc,level,drift,1,-2.14751602372362,0.0178832145222235,3250,125,Pesaran 2007 CIPS
log_gdp_pc,level,drift,2,-2.05291949019757,0.0582294762939362,3250,125,Pesaran 2007 CIPS
log_gdp_pc,diff,trend,1,-2.67721879373258,0.0110505242510338,3125,125,Pesaran 2007 CIPS
log_gdp_pc,diff,trend,2,-2.13498221347814,0.1,3125,125,Pesaran 2007 CIPS
log_gdp_pc,diff,drift,1,-2.4638238745945,0.01,3125,125,Pesaran 2007 CIPS
log_gdp_pc,diff,drift,2,-2.00271586523845,0.0969975532110816,3125,125,Pesaran 2007 CIPS
education_years,level,trend,1,-2.66466471145323,0.0155242455787304,2990,115,Pesaran 2007 CIPS
education_years,level,trend,2,-2.92911844576779,0.01,2990,115,Pesaran 2007 CIPS
education_years,level,drift,1,-2.74531879975367,0.01,2990,115,Pesaran 2007 CIPS
education_years,level,drift,2,-3.03547779425734,0.01,2990,115,Pesaran 2007 CIPS
education_years,diff,trend,1,-1.90723996209748,0.1,2875,115,Pesaran 2007 CIPS
education_years,diff,trend,2,-1.91326939410886,0.1,2875,115,Pesaran 2007 CIPS
education_years,diff,drift,1,-1.56917601699513,0.1,2875,115,Pesaran 2007 CIPS
education_years,diff,drift,2,-1.71109012962539,0.1,2875,115,Pesaran 2007 CIPS
trade_open,level,trend,1,-2.42558870720364,0.1,2964,114,Pesaran 2007 CIPS
trade_open,level,trend,2,-2.18951712343059,0.1,2964,114,Pesaran 2007 CIPS
trade_open,level,drift,1,-1.86924053407056,0.1,2964,114,Pesaran 2007 CIPS
trade_open,level,drift,2,-1.66157313953886,0.1,2964,114,Pesaran 2007 CIPS
trade_open,diff,trend,1,-3.25615277295214,0.01,2850,114,Pesaran 2007 CIPS
trade_open,diff,trend,2,-2.44841756675653,0.1,2850,114,Pesaran 2007 CIPS
trade_open,diff,drift,1,-3.1980370408228,0.01,2850,114,Pesaran 2007 CIPS
trade_open,diff,drift,2,-2.42018016067288,0.01,2850,114,Pesaran 2007 CIPS
gov_size,level,trend,1,-2.16840786907833,0.1,2912,112,Pesaran 2007 CIPS
gov_size,level,trend,2,-1.99066700608904,0.1,2912,112,Pesaran 2007 CIPS
gov_size,level,drift,1,-1.83499822095457,0.1,2912,112,Pesaran 2007 CIPS
gov_size,level,drift,2,-1.73310707930769,0.1,2912,112,Pesaran 2007 CIPS
gov_size,diff,trend,1,-3.36505055873468,0.01,2800,112,Pesaran 2007 CIPS
gov_size,diff,trend,2,-2.57058091739908,0.0487309173238821,2800,112,Pesaran 2007 CIPS
gov_size,diff,drift,1,-3.18697391709659,0.01,2800,112,Pesaran 2007 CIPS
gov_size,diff,drift,2,-2.34552443481775,0.01,2800,112,Pesaran 2007 CIPS
v2x_polyarchy,level,trend,1,-2.17419411190236,0.1,3328,128,Pesaran 2007 CIPS
v2x_polyarchy,level,trend,2,-1.66558104693356,0.1,3328,128,Pesaran 2007 CIPS
v2x_polyarchy,level,drift,1,-1.75574020022393,0.1,3328,128,Pesaran 2007 CIPS
v2x_polyarchy,level,drift,2,-1.37533406112039,0.1,3328,128,Pesaran 2007 CIPS
v2x_polyarchy,diff,trend,1,-3.25920473636538,0.01,3200,128,Pesaran 2007 CIPS
v2x_polyarchy,diff,trend,2,-2.44084629855477,0.1,3200,128,Pesaran 2007 CIPS
v2x_polyarchy,diff,drift,1,-3.13666062557018,0.01,3200,128,Pesaran 2007 CIPS
v2x_polyarchy,diff,drift,2,-2.31939819833422,0.01,3200,128,Pesaran 2007 CIPS
