iso3,teststat,cv5,reject_5pct
ARG,-2.23586426799476,-2.93,FALSE
ARM,-4.52204647544031,-2.93,TRUE
AUS,-1.75439680779022,-2.93,FALSE
AUT,-1.63934448890902,-2.93,FALSE
BEL,-3.07863070422465,-2.93,TRUE
BGR,-2.22526088945289,-2.93,FALSE
BLR,-3.38462200243247,-2.93,TRUE
BOL,-3.42709135372949,-2.93,TRUE
BRA,-2.90742809505717,-2.93,FALSE
CAN,1.4099532081846,-2.93,FALSE
CHE,-4.13620324253052,-2.93,TRUE
CHL,-2.28796776023096,-2.93,FALSE
CHN,-1.97823821251533,-2.93,FALSE
COL,-2.09427561640991,-2.93,FALSE
CRI,-3.59982760497152,-2.93,TRUE
CYP,-3.77517031721466,-2.93,TRUE
CZE,-1.98948050629965,-2.93,FALSE
DEU,-2.02870163891415,-2.93,FALSE
DNK,-2.36202568342451,-2.93,FALSE
DOM,-2.25581527281253,-2.93,FALSE
ECU,-2.08772065029093,-2.93,FALSE
ESP,-2.87040312237259,-2.93,FALSE
EST,-4.23896615290869,-2.93,TRUE
FIN,-2.24660021772917,-2.93,FALSE
FRA,-2.17812622698005,-2.93,FALSE
GBR,-3.08750106677791,-2.93,TRUE
GEO,-1.93591199333532,-2.93,FALSE
GMB,-2.04496503792846,-2.93,FALSE
GRC,-3.01535850333205,-2.93,TRUE
HKG,-1.04836392538293,-2.93,FALSE
HRV,-4.35836534560575,-2.93,TRUE
HUN,-3.03966265201858,-2.93,TRUE
IDN,-1.08820831418742,-2.93,FALSE
IND,-3.5235823511379,-2.93,TRUE
IRL,-2.4078724695734,-2.93,FALSE
ISR,-1.56709345284891,-2.93,FALSE
ITA,-2.47003027627672,-2.93,FALSE
KAZ,-1.64955992902839,-2.93,FALSE
KGZ,-5.24076258257314,-2.93,TRUE
KOR,-3.02808578361242,-2.93,TRUE
LTU,-3.40163230006143,-2.93,TRUE
LUX,-4.32638612962786,-2.93,TRUE
LVA,-2.4851675586717,-2.93,FALSE
MDA,-2.20973809918829,-2.93,FALSE
MEX,-2.61034877378798,-2.93,FALSE
MLI,-3.03549526738315,-2.93,TRUE
NLD,-3.98236384414953,-2.93,TRUE
NOR,-2.37082573810566,-2.93,FALSE
NZL,-3.26845885785179,-2.93,TRUE
PAN,-2.03679756881587,-2.93,FALSE
PER,-2.31735373379136,-2.93,FALSE
PHL,-0.12512910488889,-2.93,FALSE
POL,-2.81608820379889,-2.93,FALSE
PRT,-2.91946412518239,-2.93,FALSE
PRY,-1.18740798748262,-2.93,FALSE
ROU,-2.22868200342047,-2.93,FALSE
RUS,-1.91277184915465,-2.93,FALSE
SGP,-2.31048025379801,-2.93,FALSE
SLV,-2.4724618148412,-2.93,FALSE
SVK,-0.0987704400037146,-2.93,FALSE
SVN,-1.2704560752176,-2.93,FALSE
SWE,-4.2493078914102,-2.93,TRUE
THA,-2.25874040706728,-2.93,FALSE
TUR,-2.86061894049755,-2.93,FALSE
TWN,-1.81346564178552,-2.93,FALSE
UGA,-2.08431363785332,-2.93,FALSE
UKR,-2.22165174976462,-2.93,FALSE
URY,-1.90384668848087,-2.93,FALSE
USA,-2.3463573243776,-2.93,FALSE
VEN,-1.51438864460362,-2.93,FALSE
VNM,-3.15193579787339,-2.93,TRUE
