spec,statistic,empirical,standardized,tail,p_value
constant+trend,panel_v,0.0607866045190844,-6.52422870272866,right,0.999999999965824
constant+trend,panel_rho,-30.6484050515268,2.8907331136854,left,0.998078278175963
constant+trend,panel_pp,-11.3275870488742,2.14374143578668,left,0.983973194924141
constant+trend,panel_adf,-165.183902940445,-121.079398566507,left,0
constant+trend,group_rho,-41.8861218958935,6.39868555850665,left,0.99999999992164
constant+trend,group_pp,-12.7309711422614,5.03214029460127,left,0.999999757482953
constant+trend,group_adf,-11.8342940989419,6.14518780535542,left,0.999999999600655
constant only,panel_v,0.0607866045190844,-6.52422870272866,right,0.999999999965824
constant only,panel_rho,-30.6484050515268,2.8907331136854,left,0.998078278175963
constant only,panel_pp,-11.3275870488742,2.14374143578668,left,0.983973194924141
constant only,panel_adf,-165.183902940445,-121.079398566507,left,0
constant only,group_rho,-41.8861218958935,6.39868555850665,left,0.99999999992164
constant only,group_pp,-12.7309711422614,5.03214029460127,left,0.999999757482953
constant only,group_adf,-11.8342940989419,6.14518780535542,left,0.999999999600655
