variable,transform,test,exo,lags,stat,p_value,n_countries,method
v2x_corr,level,ips,intercept,0,-0.361465935265485,0.35887558284408,123,plm::purtest ips
v2x_corr,level,ips,intercept,1,-847218542890590,0,123,plm::purtest ips
v2x_corr,level,madwu,intercept,0,411.0172158377,2.01108061960487e-10,123,plm::purtest madwu
v2x_corr,level,madwu,intercept,1,386.031136463021,2.79685169834109e-08,123,plm::purtest madwu
v2x_corr,level,ips,trend,0,0.815977888640481,0.792743608889422,123,plm::purtest ips
v2x_corr,level,ips,trend,1,-886079351109639,0,123,plm::purtest ips
v2x_corr,level,madwu,trend,0,391.226926192504,1.04144394782621e-08,123,plm::purtest madwu
v2x_corr,level,madwu,trend,1,351.125037818773,1.20098626926e-05,123,plm::purtest madwu
v2x_corr,diff,ips,intercept,0,-40.0814802337297,0,123,plm::purtest ips
v2x_corr,diff,madwu,intercept,0,2627.70880749193,0,123,plm::purtest madwu
v2x_corr,diff,ips,trend,0,-37.570555549447,0,123,plm::purtest ips
v2x_corr,diff,madwu,trend,0,2491.34999186585,0,123,plm::purtest madwu
gini_disp,level,ips,intercept,0,6.79617882220139,0.999999999994628,71,plm::purtest ips
gini_disp,level,ips,intercept,1,-1.90753816321554,0.0282254669981976,71,plm::purtest ips
gini_disp,level,ips,intercept,2,-2.16547613254786,0.0151756206327059,71,plm::purtest ips
gini_disp,level,madwu,intercept,0,193.291640711932,0.00273811823872639,71,plm::purtest madwu
gini_disp,level,madwu,intercept,1,212.595624746337,0.000114977257450604,71,plm::purtest madwu
gini_disp,level,madwu,intercept,2,190.786924567385,0.00395596984084787,71,plm::purtest madwu
gini_disp,level,ips,trend,0,3.89219092180439,0.999950328491371,71,plm::purtest ips
gini_disp,level,ips,trend,1,-4.62205367070057,1.89979836861372e-06,71,plm::purtest ips
gini_disp,level,ips,trend,2,-4.3237682272993,7.66932214568386e-06,71,plm::purtest ips
gini_disp,level,madwu,trend,0,147.030443150736,0.368999080268184,71,plm::purtest madwu
gini_disp,level,madwu,trend,1,326.049955770358,1.65506665095877e-16,71,plm::purtest madwu
gini_disp,level,madwu,trend,2,274.969349551115,1.56077485631328e-10,71,plm::purtest madwu
gini_disp,diff,ips,intercept,0,-11.2129643023551,1.76098455617471e-29,71,plm::purtest ips
gini_disp,diff,ips,intercept,1,-9.23892878376066,1.24488636397735e-20,71,plm::purtest ips
gini_disp,diff,ips,intercept,2,-8.3043423782079,5.01869092952366e-17,71,plm::purtest ips
gini_disp,diff,madwu,intercept,0,476.115859819257,1.12798025754505e-37,71,plm::purtest madwu
gini_disp,diff,madwu,intercept,1,378.430401093397,2.14755198456074e-23,71,plm::purtest madwu
gini_disp,diff,madwu,intercept,2,328.390436344628,8.42926296646151e-17,71,plm::purtest madwu
gini_disp,diff,ips,trend,0,-8.17688073590659,1.45643032701726e-16,71,plm::purtest ips
