iso3,direction,k,d_max,n_obs,wald,p_value
ALB,corr_to_gini,4,1,25,4.8534119510081295,0.30267170801200227
ALB,gini_to_corr,4,1,25,15.803391005916989,0.0032946552707965315
ARG,corr_to_gini,3,1,32,8.842016918024115,0.031466799018129876
ARG,gini_to_corr,3,1,32,3.7963481392443836,0.28431118926661725
ARM,corr_to_gini,2,1,32,8.782142604975,0.012387451401932648
ARM,gini_to_corr,2,1,32,0.19338601427486665,0.9078346621200462
AUS,corr_to_gini,4,1,31,0.4039939691857719,0.9821486010861235
AUS,gini_to_corr,4,1,31,2.4762873378016867,0.6488868868386671
AUT,corr_to_gini,2,1,32,1.4369339826391343,0.48749902364800335
AUT,gini_to_corr,2,1,32,0.7433965538340644,0.6895622679929985
BEL,corr_to_gini,4,1,32,13.735685347447964,0.00818821978583717
BEL,gini_to_corr,4,1,32,31.744313429640773,2.1576476444407078e-06
BFA,corr_to_gini,3,1,25,6.939918212565393,0.07383763944721067
BFA,gini_to_corr,3,1,25,9.371942332742183,0.024733436178823176
BGD,corr_to_gini,2,1,27,1.4463101604505066,0.4852189336919368
BGD,gini_to_corr,2,1,27,3.7837109609928916,0.15079175793635047
BGR,corr_to_gini,2,1,32,1.8782795975191153,0.3909639984702823
BGR,gini_to_corr,2,1,32,2.104345072217882,0.34917832195549137
BLR,corr_to_gini,3,1,33,0.49653678994177824,0.919651602405165
BLR,gini_to_corr,3,1,33,0.9299676950583526,0.8181905481064013
BOL,corr_to_gini,2,1,30,3.697979080737755,0.1573961284215708
BOL,gini_to_corr,2,1,30,0.1870428256862897,0.9107185161446757
BRA,corr_to_gini,3,1,32,2.094024584794581,0.5531225761506922
BRA,gini_to_corr,3,1,32,3.2034312115880583,0.3613109384273736
BRB,corr_to_gini,3,1,28,2.8708314135306665,0.4119721415378407
BRB,gini_to_corr,3,1,28,11.230819077952866,0.01054103567595055
BWA,corr_to_gini,2,1,27,0.33436497558583667,0.8460452043268727
BWA,gini_to_corr,2,1,27,3.218944080771069,0.1999931745261836
CAN,corr_to_gini,1,1,32,2.098876798578944,0.14740738887092197
CAN,gini_to_corr,1,1,32,1.2024507248522183,0.27283240700536715
CHE,corr_to_gini,2,1,31,0.032438811087924346,0.9839114207509186
CHE,gini_to_corr,2,1,31,0.973374565450157,0.6146592174488432
CHL,corr_to_gini,2,1,31,2.153013013760924,0.3407839749883059
CHL,gini_to_corr,2,1,31,1.598594688937665,0.44964479854758244
CHN,corr_to_gini,2,1,31,5.163862908109877,0.07562779126258501
CHN,gini_to_corr,2,1,31,2.9765806090601563,0.22575830372419659
CIV,corr_to_gini,3,1,29,2.924857840461654,0.4033563057455679
CIV,gini_to_corr,3,1,29,4.955147108111159,0.1751111104721037
COL,corr_to_gini,3,1,32,3.4969254295385275,0.3211611012685386
COL,gini_to_corr,3,1,32,4.11858602580103,0.24894042251790527
CRI,corr_to_gini,4,1,33,3.7317286772367853,0.4435279999941023
CRI,gini_to_corr,4,1,33,8.87396997808715,0.06432799819644541
CYP,corr_to_gini,4,1,32,4.313408474914212,0.3652490910395486
CYP,gini_to_corr,4,1,32,13.284124512738437,0.00996780618574844
CZE,corr_to_gini,4,1,32,5.950499054386065,0.20287565857938028
CZE,gini_to_corr,4,1,32,1.3673840600210805,0.849843545160959
DEU,corr_to_gini,2,1,32,0.06111674782159977,0.969903813336014
DEU,gini_to_corr,2,1,32,0.18213183741317857,0.9129575279362836
DNK,corr_to_gini,2,1,32,0.9445482560336959,0.6235825480384563
DNK,gini_to_corr,4,1,32,7.750576698188752,0.10115420969840994
DOM,corr_to_gini,2,1,32,3.2451158424848057,0.19739313666746283
DOM,gini_to_corr,2,1,32,1.0723318331913225,0.5849868465133299
ECU,corr_to_gini,2,1,28,0.4358568512652221,0.8041829984961206
ECU,gini_to_corr,2,1,28,1.7303410127201855,0.42097976677981697
EGY,corr_to_gini,2,1,30,11.99167955366269,0.0024890858191264353
EGY,gini_to_corr,2,1,30,1.563366069863897,0.45763514685304496
ESP,corr_to_gini,4,1,32,2.8718410433011092,0.5794964171288554
ESP,gini_to_corr,4,1,32,3.0314994726833113,0.552567947465739
EST,corr_to_gini,2,1,32,0.683440891493704,0.7105468133306687
EST,gini_to_corr,2,1,32,0.37584837828424567,0.8286775276056886
FIN,corr_to_gini,2,1,32,3.134406460756302,0.20862785121849525
FIN,gini_to_corr,2,1,32,0.29145259830625714,0.8643942562507454
FJI,corr_to_gini,4,1,30,22.837310063197197,0.00013646324438709723
FJI,gini_to_corr,4,1,30,2.521038328606866,0.6408725583965524
FRA,corr_to_gini,2,1,32,1.9053794559473234,0.3857021930170934
FRA,gini_to_corr,2,1,32,4.9935006828497075,0.0823521807337586
GBR,corr_to_gini,2,1,33,0.41680599133849033,0.8118797867382037
GBR,gini_to_corr,2,1,33,0.9903125742273389,0.6094756466628299
GEO,corr_to_gini,2,1,33,2.0058105816366307,0.3668121954889939
GEO,gini_to_corr,2,1,33,6.384388808083145,0.0410816222763104
GHA,corr_to_gini,3,1,28,0.13192874613056954,0.9877480815489615
GHA,gini_to_corr,3,1,28,0.5158761547820344,0.9153898993729391
GIN,corr_to_gini,1,1,28,1.6768292380362775,0.19534630549549592
GIN,gini_to_corr,1,1,28,0.003561918626131611,0.9524090582146145
GMB,corr_to_gini,4,1,29,3.8450698290089713,0.42737922146210416
GMB,gini_to_corr,4,1,29,9.73665159790336,0.04510525957799594
GNB,corr_to_gini,3,1,26,3.0267883826838538,0.3875133473839265
GNB,gini_to_corr,3,1,26,3.229302639305099,0.35760422591355945
GRC,corr_to_gini,2,1,32,0.2555652247495563,0.8800446691725686
GRC,gini_to_corr,2,1,32,6.287869055124355,0.04311283512153363
GTM,corr_to_gini,4,1,25,4.584850446662096,0.3326046338343084
GTM,gini_to_corr,4,1,25,0.6869673876639434,0.9529263296720722
HKG,corr_to_gini,4,1,32,5.430733366961532,0.24588549800110637
HKG,gini_to_corr,4,1,32,15.928068034915194,0.00311722010402804
HND,corr_to_gini,2,1,30,0.614176588877127,0.7355856499179152
HND,gini_to_corr,2,1,30,2.593228370906621,0.27345609902463675
HRV,corr_to_gini,2,1,31,3.054408327924524,0.21714191262448224
HRV,gini_to_corr,2,1,31,3.073303072539314,0.21510015195503862
HUN,corr_to_gini,1,1,32,0.3654336273491675,0.5455039151320819
HUN,gini_to_corr,1,1,32,0.4242265014678759,0.5148356008812834
IDN,corr_to_gini,2,1,33,2.7546087234489436,0.2522576327020152
IDN,gini_to_corr,2,1,33,3.3805532117253367,0.18446849186909375
IND,corr_to_gini,4,1,31,11.623515104995723,0.020381913152655584
IND,gini_to_corr,4,1,31,4.755861216760824,0.3132770511763012
IRL,corr_to_gini,3,1,33,0.5085339737077423,0.9170125743399962
IRL,gini_to_corr,3,1,33,1.5777529253092673,0.6644446483590976
IRN,corr_to_gini,2,1,30,1.3453447556709386,0.5103429247083007
IRN,gini_to_corr,2,1,30,0.9609533356568523,0.618488507956908
ISL,corr_to_gini,2,1,26,0.496171793139469,0.7802929159145
ISL,gini_to_corr,2,1,26,0.7205216689908749,0.6974943717495552
ISR,corr_to_gini,3,1,31,7.59902685290187,0.055067884314447424
ISR,gini_to_corr,3,1,31,1.0058428662301901,0.7998381583366542
ITA,corr_to_gini,4,1,32,6.79073977062699,0.14736862217360325
ITA,gini_to_corr,4,1,32,2.77545886497616,0.5960763319623601
JAM,corr_to_gini,3,1,28,8.068848685936606,0.04461003562200261
JAM,gini_to_corr,3,1,28,3.3688348977527207,0.3381764415219901
JOR,corr_to_gini,2,1,28,1.4250467292319249,0.49040516381372934
JOR,gini_to_corr,2,1,28,1.3067734139422833,0.5202807511888474
JPN,corr_to_gini,2,1,29,1.3718122692761354,0.5036336628438007
JPN,gini_to_corr,2,1,29,0.2755644496745769,0.8712884160630033
KAZ,corr_to_gini,2,1,33,2.4379195764721633,0.2955374285976101
KAZ,gini_to_corr,2,1,33,0.28019578966343417,0.8692731338862166
KEN,corr_to_gini,1,1,27,1.6309368398711306,0.20157351939793933
KEN,gini_to_corr,1,1,27,0.4034049980753665,0.52533599264867
KGZ,corr_to_gini,3,1,32,3.6416655448583817,0.302848004639523
KGZ,gini_to_corr,3,1,32,1.739730451507942,0.6281372287941198
KOR,corr_to_gini,4,1,31,2.4862611913141532,0.6470976178736537
KOR,gini_to_corr,4,1,31,9.305926462163356,0.05389145447340982
LAO,corr_to_gini,1,1,27,0.3052873921327915,0.5805865313568372
LAO,gini_to_corr,1,1,27,0.1751121195907792,0.6756079019460944
LKA,corr_to_gini,2,1,30,0.6257697146070673,0.7313341155031894
LKA,gini_to_corr,2,1,30,3.7040504485623305,0.15691904802567924
LSO,corr_to_gini,4,1,28,6.455708471385085,0.16760258888816448
LSO,gini_to_corr,4,1,28,19.071830907704136,0.000760811056625732
LTU,corr_to_gini,3,1,32,0.2814715542530229,0.9634746631316513
LTU,gini_to_corr,3,1,32,1.38720852548609,0.7085358444582752
LUX,corr_to_gini,2,1,32,2.407918452131596,0.3000040735056968
LUX,gini_to_corr,2,1,32,0.03774118505290997,0.9813063424010819
LVA,corr_to_gini,2,1,32,1.2136391942382558,0.5450816946462099
LVA,gini_to_corr,2,1,32,0.7922604587345162,0.6729190564079582
MAR,corr_to_gini,1,1,25,1.7920409830068722,0.18067768714184052
MAR,gini_to_corr,1,1,25,3.859243428716863,0.04947263228906673
MDA,corr_to_gini,4,1,33,4.204268596005781,0.37906638149207783
