group,channel,h,mean,lo,hi
Afrique,C->C,0,0.037822162862509744,0.03633160259029863,0.03931272313472086
Afrique,C->C,1,0.0012500535855469834,-0.0008605392421596387,0.0033606464132536055
Afrique,C->C,2,-2.504039485878384e-05,-0.000212073894461814,0.00016199310474424632
Afrique,C->C,3,-4.404894166202801e-05,-0.00012636686804564073,3.826898472158469e-05
Afrique,C->C,4,-2.8136000468120422e-05,-7.927856513705061e-05,2.300656420080977e-05
Afrique,C->C,5,-1.7349173783908148e-05,-4.886429017244909e-05,1.4165942604632793e-05
Afrique,C->C,6,-1.0676191964631817e-05,-3.0105268108653138e-05,8.752884179389505e-06
Afrique,C->C,7,-6.569048989071016e-06,-1.856466745878793e-05,5.4265694806458974e-06
Afrique,C->C,8,-4.041900440401551e-06,-1.1459279329353782e-05,3.3754784485506806e-06
Afrique,C->C,9,-2.486958545871366e-06,-7.080192251291719e-06,2.106275159548987e-06
Afrique,C->C,10,-1.5302115310732474e-06,-4.378621221908833e-06,1.3181981597623383e-06
Afrique,C->I,0,-0.004872486144868415,-0.011531099599880485,0.0017861273101436557
Afrique,C->I,1,-0.00577076475534328,-0.013600379175755158,0.002058849665068597
Afrique,C->I,2,-0.003650715478561361,-0.008685918639697131,0.00138448768257441
Afrique,C->I,3,-0.002249870865725469,-0.005361653286754746,0.0008619115553038081
Afrique,C->I,4,-0.001384462876863774,-0.003307586429627715,0.000538660675900167
Afrique,C->I,5,-0.0008518568689666892,-0.0020432948957842196,0.00033958115785084095
Afrique,C->I,6,-0.0005241428831305034,-0.0012641299340331747,0.00021584416777216788
Afrique,C->I,7,-0.0003225021579100944,-0.0007831917781963048,0.00013818746237611603
Afrique,C->I,8,-0.00019843375413857296,-0.00048587683874199095,8.900933046484502e-05
Afrique,C->I,9,-0.00012209516672879856,-0.0003018055028703155,5.761516941271843e-05
Afrique,C->I,10,-7.512446560483329e-05,-0.00018768475255676628,3.743582134709969e-05
Afrique,I->C,0,0.0,0.0,0.0
Afrique,I->C,1,0.0014126077217987136,-0.00024878429211562005,0.0030739997357130473
Afrique,I->C,2,0.0009201138512185874,-0.00016437496008890964,0.0020046026625260846
Afrique,I->C,3,0.0005679781055516126,-0.0001023567583734728,0.001238312969476698
Afrique,I->C,4,0.000349539975110603,-6.472290873680485e-05,0.0007638028589580109
Afrique,I->C,5,0.00021507235949546447,-4.1801565651683345e-05,0.0004719462846426123
Afrique,I->C,6,0.00013233289267794389,-2.749617760312319e-05,0.00029216196295901096
Afrique,I->C,7,8.142368359163184e-05,-1.8344186050156658e-05,0.00018119155323342032
Afrique,I->C,8,5.009953215139916e-05,-1.2360874040695469e-05,0.00011255993834349378
Afrique,I->C,9,3.0825958809370926e-05,-8.381029838674242e-06,7.00329474574161e-05
Afrique,I->C,10,1.896703812578806e-05,-5.700441523138647e-06,4.363451777471477e-05
Afrique,I->I,0,0.11942217025666277,0.11471577778373898,0.12412856272958656
Afrique,I->I,1,0.07365764731230613,0.06766101916950312,0.07965427545510914
Afrique,I->I,2,0.045327548229502995,0.03860166882835235,0.05205342763065364
Afrique,I->I,3,0.027890015413944393,0.021793299345324074,0.03398673148256472
Afrique,I->I,4,0.017160577100696024,0.012189101606861659,0.02213205259453039
Afrique,I->I,5,0.01055880634287245,0.0067452646937756,0.014372347991969299
Afrique,I->I,6,0.006496773840498785,0.0036848177201914867,0.009308729960806084
Afrique,I->I,7,0.003997428203304383,0.0019804037755608286,0.006014452631047937
Afrique,I->I,8,0.0024595949668880473,0.001041875690627847,0.003877314243148248
Afrique,I->I,9,0.0015133748734017455,0.0005322984162077957,0.0024944513305956953
Afrique,I->I,10,0.0009311710010289963,0.00026057095356782334,0.0016017710484901692
